,peptide,water,HAuCl4,hepes,Slot,LabwareType,WellCode,WellIndex,UID,peptide_name
180,8.94E-05,1,4.00E-05,1.00E-05,5,corning-48-3548,E1,52,2021-07-13Z2_S5_E1,Z2
181,8.94E-05,1,6.84E-05,1.00E-05,5,corning-48-3548,F1,53,2021-07-13Z2_S5_F1,Z2
182,8.94E-05,1,0.000116961,1.00E-05,5,corning-48-3548,A2,54,2021-07-13Z2_S5_A2,Z2
183,8.94E-05,1,0.0002,1.00E-05,5,corning-48-3548,B2,55,2021-07-13Z2_S5_B2,Z2
184,0.0002,1,4.00E-05,1.00E-05,5,corning-48-3548,C2,56,2021-07-13Z2_S5_C2,Z2
185,0.0002,1,6.84E-05,1.00E-05,5,corning-48-3548,D2,57,2021-07-13Z2_S5_D2,Z2
186,0.0002,1,0.000116961,1.00E-05,5,corning-48-3548,E2,58,2021-07-13Z2_S5_E2,Z2
187,0.0002,1,0.0002,1.00E-05,5,corning-48-3548,F2,59,2021-07-13Z2_S5_F2,Z2
188,0,1,4.00E-05,1.00E-05,5,corning-48-3548,A3,60,2021-07-13Z2_S5_A3,Z2
189,0,1,6.84E-05,1.00E-05,5,corning-48-3548,B3,61,2021-07-13Z2_S5_B3,Z2
190,0,1,0.000116961,1.00E-05,5,corning-48-3548,C3,62,2021-07-13Z2_S5_C3,Z2
191,0,1,0.0002,1.00E-05,5,corning-48-3548,D3,63,2021-07-13Z2_S5_D3,Z2
192,4.00E-05,1,4.00E-05,0.0001,4,corning-48-3548,A1,0,2021-07-21PZ2_S4_A1,PZ2
193,4.00E-05,1,4.00E-05,0.001,4,corning-48-3548,B1,1,2021-07-21PZ2_S4_B1,PZ2
194,4.00E-05,1,4.00E-05,0,4,corning-48-3548,C1,2,2021-07-21PZ2_S4_C1,PZ2
195,4.00E-05,1,6.84E-05,0.0001,4,corning-48-3548,D1,3,2021-07-21PZ2_S4_D1,PZ2
196,4.00E-05,1,6.84E-05,0.001,4,corning-48-3548,E1,4,2021-07-21PZ2_S4_E1,PZ2
197,4.00E-05,1,6.84E-05,0,4,corning-48-3548,F1,5,2021-07-21PZ2_S4_F1,PZ2
198,4.00E-05,1,0.000116961,0.0001,4,corning-48-3548,A2,6,2021-07-21PZ2_S4_A2,PZ2
199,4.00E-05,1,0.000116961,0.001,4,corning-48-3548,B2,7,2021-07-21PZ2_S4_B2,PZ2
200,4.00E-05,1,0.000116961,0,4,corning-48-3548,C2,8,2021-07-21PZ2_S4_C2,PZ2
201,4.00E-05,1,0.0002,0.0001,4,corning-48-3548,D2,9,2021-07-21PZ2_S4_D2,PZ2
202,4.00E-05,1,0.0002,0.001,4,corning-48-3548,E2,10,2021-07-21PZ2_S4_E2,PZ2
203,4.00E-05,1,0.0002,0,4,corning-48-3548,F2,11,2021-07-21PZ2_S4_F2,PZ2
204,8.94E-05,1,4.00E-05,0.0001,4,corning-48-3548,A3,12,2021-07-21PZ2_S4_A3,PZ2
205,8.94E-05,1,4.00E-05,0.001,4,corning-48-3548,B3,13,2021-07-21PZ2_S4_B3,PZ2
206,8.94E-05,1,4.00E-05,0,4,corning-48-3548,C3,14,2021-07-21PZ2_S4_C3,PZ2
207,8.94E-05,1,6.84E-05,0.0001,4,corning-48-3548,D3,15,2021-07-21PZ2_S4_D3,PZ2
208,8.94E-05,1,6.84E-05,0.001,4,corning-48-3548,E3,16,2021-07-21PZ2_S4_E3,PZ2
209,8.94E-05,1,6.84E-05,0,4,corning-48-3548,F3,17,2021-07-21PZ2_S4_F3,PZ2
210,8.94E-05,1,0.000116961,0.0001,4,corning-48-3548,A4,18,2021-07-21PZ2_S4_A4,PZ2
211,8.94E-05,1,0.000116961,0.001,4,corning-48-3548,B4,19,2021-07-21PZ2_S4_B4,PZ2
212,8.94E-05,1,0.000116961,0,4,corning-48-3548,C4,20,2021-07-21PZ2_S4_C4,PZ2
213,8.94E-05,1,0.0002,0.0001,4,corning-48-3548,D4,21,2021-07-21PZ2_S4_D4,PZ2
214,8.94E-05,1,0.0002,0.001,4,corning-48-3548,E4,22,2021-07-21PZ2_S4_E4,PZ2
215,8.94E-05,1,0.0002,0,4,corning-48-3548,F4,23,2021-07-21PZ2_S4_F4,PZ2
216,0.0002,1,4.00E-05,0.0001,4,corning-48-3548,A5,24,2021-07-21PZ2_S4_A5,PZ2
217,0.0002,1,4.00E-05,0.001,4,corning-48-3548,B5,25,2021-07-21PZ2_S4_B5,PZ2
218,0.0002,1,4.00E-05,0,4,corning-48-3548,C5,26,2021-07-21PZ2_S4_C5,PZ2
219,0.0002,1,6.84E-05,0.0001,4,corning-48-3548,D5,27,2021-07-21PZ2_S4_D5,PZ2
220,0.0002,1,6.84E-05,0.001,4,corning-48-3548,E5,28,2021-07-21PZ2_S4_E5,PZ2
221,0.0002,1,6.84E-05,0,4,corning-48-3548,F5,29,2021-07-21PZ2_S4_F5,PZ2
222,0.0002,1,0.000116961,0.0001,4,corning-48-3548,A6,30,2021-07-21PZ2_S4_A6,PZ2
223,0.0002,1,0.000116961,0.001,4,corning-48-3548,B6,31,2021-07-21PZ2_S4_B6,PZ2
224,0.0002,1,0.000116961,0,4,corning-48-3548,C6,32,2021-07-21PZ2_S4_C6,PZ2
225,0.0002,1,0.0002,0.0001,4,corning-48-3548,D6,33,2021-07-21PZ2_S4_D6,PZ2
226,0.0002,1,0.0002,0.001,4,corning-48-3548,E6,34,2021-07-21PZ2_S4_E6,PZ2
227,0.0002,1,0.0002,0,4,corning-48-3548,F6,35,2021-07-21PZ2_S4_F6,PZ2
228,0,1,4.00E-05,0.0001,4,corning-48-3548,A7,36,2021-07-21PZ2_S4_A7,PZ2
229,0,1,4.00E-05,0.001,4,corning-48-3548,B7,37,2021-07-21PZ2_S4_B7,PZ2
230,0,1,4.00E-05,0,4,corning-48-3548,C7,38,2021-07-21PZ2_S4_C7,PZ2
231,0,1,6.84E-05,0.0001,4,corning-48-3548,D7,39,2021-07-21PZ2_S4_D7,PZ2
232,0,1,6.84E-05,0.001,4,corning-48-3548,E7,40,2021-07-21PZ2_S4_E7,PZ2
233,0,1,6.84E-05,0,4,corning-48-3548,F7,41,2021-07-21PZ2_S4_F7,PZ2
234,0,1,0.000116961,0.0001,4,corning-48-3548,A8,42,2021-07-21PZ2_S4_A8,PZ2
235,0,1,0.000116961,0.001,4,corning-48-3548,B8,43,2021-07-21PZ2_S4_B8,PZ2
236,0,1,0.000116961,0,4,corning-48-3548,C8,44,2021-07-21PZ2_S4_C8,PZ2
237,0,1,0.0002,0.0001,4,corning-48-3548,D8,45,2021-07-21PZ2_S4_D8,PZ2
238,0,1,0.0002,0.001,4,corning-48-3548,E8,46,2021-07-21PZ2_S4_E8,PZ2
239,0,1,0.0002,0,4,corning-48-3548,F8,47,2021-07-21PZ2_S4_F8,PZ2
240,4.00E-05,1,4.00E-05,1.00E-05,5,corning-48-3548,A1,48,2021-07-21PZ2_S5_A1,PZ2
241,4.00E-05,1,6.84E-05,1.00E-05,5,corning-48-3548,B1,49,2021-07-21PZ2_S5_B1,PZ2
